spindle_rpm,feed_rate_mmpm,cut_depth_mm,power_kw,vibration_mm_s,coolant_lpm,tool_temp_c
1769,445,3.51,17.75,6.53,24.0,58.32
693,146,0.17,0.0,0.0,2.7,34.21
3230,140,0.81,10.4,2.93,16.7,49.51
1181,496,6.13,25.89,8.39,33.4,75.4
1237,505,6.42,22.92,8.63,35.2,78.84
1328,347,3.29,20.01,5.82,24.3,70.82
1126,655,5.79,23.22,9.89,25.6,72.02
1118,680,6.03,26.18,8.52,31.2,81.65
756,9,0.0,2.3,0.62,0.0,32.34
3134,159,0.28,8.91,2.12,18.2,48.5
603,0,0.31,2.01,0.63,0.0,24.69
2902,230,0.0,9.0,1.8,16.7,46.01
2977,148,0.08,9.68,2.11,15.4,54.44
1530,380,3.58,15.15,5.7,24.4,65.05
647,63,0.5,3.03,0.64,5.8,22.52
1159,714,6.12,28.81,8.42,27.3,74.84
1061,566,6.2,28.83,8.37,31.8,83.17
1512,368,3.81,16.22,5.25,29.7,58.08
1137,706,6.19,25.12,8.66,32.8,70.71
796,81,0.26,0.61,0.0,0.0,23.42
3081,162,0.99,7.31,2.8,23.3,49.6
1498,476,3.03,16.4,5.42,24.7,59.85
2976,140,1.13,12.23,3.28,19.7,40.77
1807,352,3.74,17.88,6.07,25.4,62.77
1465,396,2.93,17.08,4.55,24.4,51.41
2892,235,0.36,4.84,3.36,16.2,42.89
1297,333,3.6,14.5,4.54,24.5,68.84
2869,177,1.08,9.82,2.5,17.7,55.66
1253,591,6.03,29.16,8.15,28.5,76.58
3043,254,0.52,11.29,2.23,18.3,46.54
1513,432,3.89,18.74,5.81,24.9,68.12
1594,322,2.84,20.03,5.63,25.6,66.13
1480,384,3.79,19.1,5.19,19.4,59.83
1401,369,2.96,17.52,4.86,28.2,60.58
2828,236,0.74,5.68,2.26,20.0,50.26
2967,167,0.75,11.49,3.11,17.3,49.02
728,0,0.3,0.0,1.27,1.9,34.1
1584,356,3.34,14.71,5.42,25.0,53.23
3141,210,0.25,7.67,2.5,20.2,47.48
1392,412,3.18,16.8,5.73,25.2,67.45
1113,558,5.55,23.66,7.95,27.1,76.26
2942,151,0.37,6.05,2.53,14.0,39.71
400,46,0.0,2.46,0.24,2.9,32.8
1003,528,6.33,28.57,8.14,33.9,84.61
1280,433,3.78,18.52,6.05,25.7,67.75
2770,175,0.61,9.8,2.38,14.1,54.25
3005,262,0.75,12.96,2.83,19.1,50.96
864,0,0.0,0.93,0.7,9.6,35.04
1211,545,5.63,24.53,7.58,30.0,78.32
1584,440,3.56,17.62,5.7,27.8,61.76
1293,559,5.29,22.45,9.0,28.0,75.89
2974,262,0.0,9.74,3.38,18.4,41.63
812,0,0.06,0.11,0.75,1.0,24.71
3137,216,1.24,8.59,2.87,9.5,43.43
1345,356,2.76,16.19,5.15,19.7,62.17
1105,630,6.79,25.56,8.65,34.4,75.99
1589,434,3.99,18.4,5.42,27.1,66.0
2955,159,0.0,7.44,1.23,22.0,53.91
1475,408,3.44,17.49,6.25,21.1,65.98
1664,405,3.09,16.78,6.23,31.3,57.4
859,1,0.44,0.86,0.73,0.0,37.43
1483,417,4.5,17.98,6.06,30.3,63.4
980,581,6.1,26.38,8.41,34.9,77.53
872,543,6.49,23.44,8.34,34.5,79.13
571,0,0.0,1.21,0.0,1.0,33.87
638,13,0.0,3.75,1.36,0.0,26.91
3227,188,1.02,9.97,2.96,20.7,39.56
1553,390,3.45,16.3,5.85,24.5,58.64
1377,615,5.94,26.08,9.23,30.1,80.32
1521,492,4.01,19.67,5.99,29.2,63.56
1483,343,3.91,16.05,5.29,28.7,57.26
1167,630,5.83,27.66,7.65,29.5,73.41
1318,317,3.66,18.16,3.7,24.4,57.32
3029,191,0.71,10.72,1.77,17.8,50.31
884,545,6.51,24.88,8.67,27.4,74.41
1139,613,6.05,23.75,8.11,31.8,76.69
1250,345,3.71,19.72,5.04,22.8,61.15
2972,48,0.7,10.1,3.07,17.3,49.68
1532,411,3.15,18.01,5.45,22.6,61.09
2876,256,1.0,8.24,1.69,17.2,48.78
3166,211,0.56,5.54,3.0,18.0,44.8
1077,632,6.36,29.31,9.07,21.3,72.69
3053,123,0.48,7.52,3.18,13.1,36.07
771,10,0.41,3.02,0.26,0.9,34.09
1366,358,3.41,21.75,5.62,25.6,67.01
3082,211,1.0,11.27,1.26,17.4,38.26
2867,201,0.29,9.26,1.76,18.1,51.02
2965,133,0.36,11.24,1.12,22.5,51.44
3051,160,0.0,11.51,3.13,31.9,40.68
981,599,6.32,25.83,8.57,26.4,76.89
3015,127,1.04,8.18,1.45,12.3,46.09
2890,179,1.23,8.93,1.13,15.3,60.58
939,666,5.95,23.95,7.75,32.1,80.09
1493,399,3.85,17.82,5.04,22.8,72.38
1149,581,6.63,22.71,8.73,28.2,72.62
1158,531,6.06,25.87,8.64,27.7,78.05
2988,91,0.92,9.15,1.65,17.2,52.1
413,67,0.13,2.78,0.0,0.0,22.75
1180,564,6.05,23.08,7.6,32.1,75.33
1222,619,6.38,24.55,8.48,29.3,77.98
3076,103,0.65,6.15,1.99,19.1,57.43
524,0,0.0,1.35,0.36,0.8,25.98
564,62,0.02,0.0,0.41,3.4,28.3
1075,574,6.39,28.21,9.59,23.4,80.8
949,0,0.23,5.24,0.0,4.4,30.04
929,705,6.03,27.47,9.39,29.9,70.47
610,0,0.56,0.24,0.0,6.2,22.0
2875,124,1.08,4.79,1.56,18.5,45.91
1154,652,5.84,27.41,8.76,28.9,73.71
1389,413,3.45,16.28,5.35,25.8,61.3
667,0,0.76,1.7,0.0,0.0,27.29
3135,160,0.59,7.56,2.21,18.7,50.0
810,593,6.87,25.43,8.84,30.1,79.46
1201,537,7.0,25.13,8.68,31.8,76.05
2956,233,0.71,8.0,2.41,16.8,57.99
960,523,5.76,27.72,10.04,31.5,72.95
1751,427,3.88,21.98,5.9,23.5,50.49
1539,351,4.17,15.84,5.43,22.4,53.36
1367,305,3.86,19.08,4.57,24.0,68.33
2832,127,0.59,10.96,3.56,12.3,55.7
1488,368,4.29,16.93,6.1,24.8,63.71
794,11,0.0,1.41,0.52,0.0,27.37
1095,640,7.11,27.17,9.21,29.8,73.76
1498,336,3.41,13.03,4.71,22.8,58.2
1697,521,2.93,16.57,5.24,27.5,67.07
1579,388,3.81,19.27,7.21,22.9,67.22
2945,282,1.21,4.93,2.24,19.2,46.82
1569,296,2.77,18.37,6.0,23.7,59.45
1396,385,3.35,15.91,5.49,26.8,58.34
684,8,0.33,1.91,2.08,4.3,26.08
3044,177,0.77,7.79,2.11,16.0,52.54
1142,595,5.81,29.41,8.86,29.6,75.76
1168,684,6.04,25.39,7.48,26.8,80.32
1607,351,3.18,19.03,4.23,27.6,64.7
2914,186,0.74,9.85,1.95,20.4,49.28
1480,459,3.43,13.28,6.83,26.1,58.99
2772,113,0.4,10.4,1.69,11.9,42.05
3008,113,0.0,13.41,1.82,15.5,44.06
2749,146,0.97,6.09,2.19,19.1,49.52
1068,591,5.91,25.84,8.41,34.8,81.8
3048,180,0.64,10.93,2.97,15.3,49.48
1549,383,3.29,18.39,4.75,19.0,59.69
2965,170,0.34,9.28,1.23,17.8,61.41
3023,277,0.64,8.78,2.23,10.7,42.71
1244,375,3.55,19.29,5.82,25.3,57.27
2817,196,0.76,10.36,1.7,21.4,52.08
2840,144,0.58,10.51,2.26,24.2,38.42
765,87,0.5,3.17,0.29,3.4,24.19
1559,402,3.36,18.31,5.14,20.8,61.4
1616,414,3.68,15.46,5.66,28.2,54.46
887,0,0.04,0.0,1.43,1.5,24.82
3224,214,1.16,10.46,2.62,14.7,44.86
590,36,0.0,0.21,0.9,1.6,23.74
3071,255,0.3,11.3,2.31,15.7,37.82
2900,180,0.43,6.29,2.31,20.7,51.19
776,0,0.0,3.2,0.59,6.8,24.04
963,649,6.17,26.32,8.48,32.0,79.14
1237,683,6.2,27.93,8.3,32.1,80.06
887,506,5.93,26.58,8.38,33.5,67.59
1314,556,6.12,28.0,8.28,30.7,79.83
668,0,0.0,1.59,0.65,0.9,30.61
750,96,0.79,0.97,0.87,2.3,29.81
1653,454,4.52,17.13,5.59,22.4,61.95
649,10,0.0,0.51,0.12,0.0,33.76
3190,226,0.43,11.81,2.17,18.7,47.8
1352,382,3.21,18.17,4.56,23.2,69.7
1007,634,6.44,24.56,8.18,30.0,76.56
1479,324,3.83,17.76,6.15,33.2,67.7
2955,256,0.73,10.05,2.46,25.1,39.1
3235,162,0.16,13.13,2.22,18.6,45.56
2854,162,0.2,6.29,4.12,16.5,48.41
2925,113,0.64,9.41,3.14,18.1,44.65
1020,530,6.62,27.05,8.34,34.2,78.7
2990,209,0.97,6.22,2.48,17.1,40.43
750,0,0.0,1.4,0.0,4.4,31.02
3083,167,0.0,12.7,2.79,21.0,59.96
947,665,5.85,26.05,7.92,27.0,71.73
572,22,0.0,3.4,0.94,0.7,29.5
1054,617,6.91,26.28,8.67,27.1,83.9
1252,326,3.64,17.93,4.22,27.8,68.56
1622,419,3.36,15.11,5.33,22.4,60.78
1160,670,6.21,26.55,8.14,31.6,77.3
1447,467,3.63,17.64,4.99,29.3,62.91
3053,196,0.26,7.04,2.19,18.7,41.95
1046,528,6.3,28.69,6.58,32.7,75.43
919,619,6.34,27.15,8.8,29.6,76.74
818,19,0.12,2.99,0.77,7.0,31.74
1136,593,5.02,25.8,8.28,33.9,75.45
2969,182,0.69,8.68,2.0,12.3,56.51
1181,605,5.41,27.11,7.22,28.7,77.64
833,0,0.0,0.93,0.82,2.1,36.22
1277,368,3.23,20.46,4.54,23.2,60.59
1664,395,3.48,18.46,5.28,28.1,61.02
693,0,0.0,1.93,0.17,0.0,21.6
2896,172,1.18,7.41,3.01,16.7,45.94
3062,183,0.55,11.51,3.65,15.9,41.43
1515,368,3.8,21.71,5.74,26.3,58.93
1493,398,3.79,18.12,5.15,23.4,59.79
1212,648,6.11,27.91,9.51,31.3,72.49
690,2,0.14,0.0,0.55,3.3,20.06
1458,419,3.46,14.63,4.95,20.0,51.35
2854,109,1.37,6.38,1.77,19.9,51.79
1420,339,3.43,19.14,4.49,21.3,53.98
1762,408,3.32,17.42,5.17,22.5,62.05
516,0,0.0,5.58,0.81,1.1,23.18
1034,632,5.31,27.45,7.94,35.7,66.78
2965,150,0.32,6.95,1.99,17.8,49.34
3135,163,0.97,12.01,0.97,17.0,50.01
920,36,0.04,0.49,0.0,0.0,22.19
456,0,0.59,4.44,0.39,0.9,28.28
891,39,0.0,1.19,0.16,10.8,28.64
1210,556,6.52,23.36,8.3,36.2,81.87
3040,251,0.69,8.23,2.29,18.7,49.58
669,0,0.39,3.18,1.03,3.4,25.09
1521,435,3.93,19.29,5.23,22.3,62.04
1549,435,3.26,15.84,5.43,27.4,58.45
1622,429,3.59,16.64,5.19,24.1,58.12
1661,428,3.64,14.89,5.01,19.7,63.6
2887,241,0.74,10.0,1.73,20.7,44.9
1331,450,3.65,13.76,6.79,26.5,60.83
3203,244,0.53,12.1,2.05,22.2,51.28
3027,200,0.77,5.14,2.7,10.4,57.99
1471,367,4.08,20.33,5.72,22.4,64.22
2959,111,1.26,7.5,1.3,19.1,42.26
696,0,0.0,1.53,0.09,5.6,31.85
1192,572,5.8,22.37,10.19,29.3,81.34
1641,430,4.09,16.87,5.98,27.1,52.59
576,67,0.0,0.0,1.57,5.7,22.53
1188,601,5.58,27.18,8.79,26.4,76.63
2900,158,0.54,10.43,2.6,12.4,51.09
664,0,0.0,1.75,0.0,3.7,32.27
652,0,0.06,3.87,1.15,3.4,29.12
1587,329,3.63,17.6,5.54,22.3,57.2
1451,369,3.43,15.55,5.01,27.9,56.99
1669,483,3.53,19.22,5.53,25.3,57.04
590,0,0.0,2.78,0.74,0.2,23.71
503,14,0.0,1.36,0.28,6.0,32.26
2916,213,1.36,6.88,1.53,16.6,44.12
608,0,0.0,2.34,0.82,1.2,32.17
1557,366,3.87,19.16,5.58,27.0,65.02
1411,327,3.09,16.63,5.28,26.1,65.5
658,36,0.35,0.0,0.27,0.0,31.78
2765,196,0.17,10.28,3.07,15.9,44.09
632,0,0.48,1.78,0.0,7.1,31.92
845,33,0.38,3.24,0.94,0.0,28.28
758,17,0.0,2.53,0.2,5.4,32.1
1357,421,2.93,19.59,6.19,23.7,66.74
2921,220,0.24,6.15,2.1,22.5,48.99
1450,416,4.08,19.26,5.39,20.1,62.51
1423,351,3.98,14.65,5.06,26.6,66.22
513,14,0.0,3.69,0.0,2.3,30.65
3045,141,0.1,10.53,1.67,13.0,47.63
1321,481,3.88,17.71,4.38,18.2,67.0
1762,465,3.79,17.66,5.73,20.4,67.53
637,24,0.0,3.67,0.74,0.0,15.03
2889,142,0.51,9.72,0.69,18.5,42.33
1553,367,3.63,20.4,6.73,26.9,65.01
1527,372,3.27,16.12,4.5,23.4,67.02
1563,325,3.7,17.28,5.1,25.1,67.12
1657,408,3.26,19.03,5.11,24.1,71.29
1414,455,3.42,16.88,5.88,23.1,58.89
930,555,6.87,27.27,7.1,28.2,71.6
744,16,0.0,3.98,0.0,0.0,35.18
770,31,0.0,5.03,0.62,6.8,25.83
1617,393,4.19,19.17,6.38,27.1,63.69
1180,588,6.32,27.29,9.01,31.6,75.65
1591,364,3.22,16.33,6.99,26.2,60.49
1128,612,5.82,25.65,7.79,23.9,86.16
1577,329,3.4,15.32,4.7,18.9,59.38
1674,421,3.3,16.82,4.08,25.1,63.79
1429,386,4.07,15.69,5.66,24.1,60.04
1100,593,5.53,25.39,7.21,30.6,78.74
1163,624,6.14,25.38,8.49,30.6,74.56
1306,662,5.33,24.6,7.3,32.2,70.2
1254,504,6.41,21.34,9.98,25.1,72.9
3029,189,0.0,9.98,1.87,14.2,55.81
808,0,0.0,2.15,1.22,0.8,24.32
1471,403,3.55,15.93,5.9,26.6,62.49
2725,158,0.67,5.05,1.82,13.0,46.87
3135,178,0.3,13.14,3.26,21.8,45.89
1495,444,3.03,20.28,5.95,22.8,58.44
2949,141,0.93,11.73,2.02,22.7,53.77
804,103,0.0,1.75,0.77,0.0,32.56
2995,209,0.64,6.82,2.25,20.5,50.72
1212,677,6.3,24.42,7.27,28.3,83.48
1145,574,5.29,25.15,8.12,31.1,70.93
1031,469,6.13,24.89,9.1,31.6,73.28
1442,456,3.92,19.73,6.42,18.9,60.3
3029,160,0.12,8.75,2.73,18.6,45.98
3072,118,0.59,9.73,2.99,21.5,48.21
775,98,0.0,3.7,0.67,0.0,31.52
3125,111,0.41,8.67,1.66,16.5,45.15
1597,355,3.36,20.71,3.59,28.4,63.14
2952,170,0.15,7.44,2.5,17.4,41.57
677,14,0.0,3.23,0.2,0.3,35.39
1351,456,3.18,19.79,4.84,25.9,56.52
1461,343,3.04,18.32,5.29,24.9,50.43
1386,455,3.75,17.84,4.39,22.7,61.43
707,36,0.0,0.55,0.56,0.0,28.69
1259,660,6.47,25.1,7.76,29.3,84.24
1506,420,3.51,15.45,5.61,27.8,59.53
1234,648,6.06,25.8,9.28,30.3,84.03
761,0,0.13,0.69,1.81,6.5,33.63
1598,363,4.26,17.85,5.88,26.1,54.1
1143,543,5.51,28.61,7.93,25.3,77.83
3129,311,0.77,8.57,2.81,16.5,35.62
1439,396,3.12,16.77,3.88,26.2,57.84
744,25,0.0,0.0,0.39,3.5,32.2
1342,514,3.59,21.03,5.33,25.0,61.35
823,72,0.11,2.76,1.35,0.0,29.03
1130,677,6.3,23.68,8.09,32.5,87.58
864,621,5.98,25.92,9.0,28.1,85.97
814,0,0.23,1.12,1.07,3.6,29.41
1507,352,3.61,17.03,6.04,25.7,55.05
3194,190,1.7,11.89,2.22,20.4,55.52
1425,361,3.19,17.11,5.3,25.9,57.66
1538,458,3.46,19.36,5.72,25.6,73.01
1171,570,6.17,24.14,8.4,26.8,80.31
3007,157,1.27,9.94,1.66,18.6,55.53
1195,576,5.68,25.4,7.95,33.0,83.83
778,31,0.0,2.58,0.14,4.6,22.82
1490,387,3.52,16.87,4.77,26.8,61.47
2831,228,0.42,6.41,1.69,18.4,47.53
1195,659,6.05,25.29,8.79,26.7,79.0
726,107,0.0,2.22,0.0,2.1,25.89
3217,90,0.9,9.73,1.42,18.2,46.19
3157,246,0.13,10.02,1.87,18.8,44.4
1450,402,4.18,22.04,5.64,24.3,62.85
1120,644,6.7,26.39,9.33,30.4,76.12
1409,321,3.7,20.54,5.9,29.7,64.63
3150,179,0.8,9.45,1.5,23.8,43.18
770,80,0.1,0.0,1.82,0.0,27.45
2889,160,0.63,5.51,2.27,13.6,49.28
656,0,0.0,0.59,0.13,0.0,28.22
1067,541,6.63,26.03,8.36,32.3,86.57
1538,373,4.11,20.07,5.59,25.3,56.75
1663,431,4.14,19.15,6.67,22.2,61.83
3073,174,0.07,6.56,0.98,14.5,38.84
1050,651,6.0,26.15,7.29,32.7,84.71
2980,208,0.91,10.03,3.13,14.2,48.75
3100,140,0.42,10.22,1.92,15.4,53.92
1600,437,3.34,18.98,5.15,23.4,56.47
3065,179,0.41,5.66,1.92,17.9,52.27
704,0,0.43,2.43,0.0,2.3,16.23
1685,295,3.86,17.05,5.58,25.2,55.42
1441,399,3.1,17.47,4.35,26.0,62.96
697,0,0.57,3.37,1.36,1.9,38.11
1567,417,2.68,18.55,6.38,26.7,64.75
980,619,6.19,25.57,7.87,32.5,73.71
1408,383,3.97,16.65,5.51,24.4,70.9
1454,441,3.11,18.29,6.11,17.2,68.69
3134,163,0.44,8.75,1.23,26.0,45.28
981,618,6.34,30.09,8.8,32.8,83.72
1328,441,3.46,17.56,4.79,21.6,65.36
1343,394,3.84,18.31,5.52,19.7,59.89
1541,383,3.45,14.62,5.11,23.4,55.7
2802,148,1.18,9.93,1.65,18.9,42.39
3053,225,0.66,7.96,1.56,22.2,54.3
1179,576,5.2,24.13,8.06,25.6,83.47
3064,116,0.81,6.79,2.54,14.5,52.44
1537,338,3.31,18.54,4.8,27.1,56.7
1151,500,5.64,26.18,8.9,31.8,75.9
949,584,5.1,29.29,8.65,27.4,77.78
707,0,0.0,1.55,0.44,5.8,34.41
1232,635,5.84,24.02,7.8,28.5,73.85
2923,233,0.53,5.5,0.84,13.7,52.67
2932,202,0.29,13.0,3.13,14.7,52.39
1022,652,6.47,26.82,7.87,28.9,85.18
2903,223,0.82,8.33,2.49,15.8,45.05
1535,464,3.88,15.17,5.5,25.5,64.45
2974,171,0.98,12.63,2.67,16.7,46.58
1738,411,3.44,20.36,5.65,28.3,55.4
1112,563,5.89,26.82,8.52,31.4,75.86
1422,426,3.1,18.95,5.31,26.4,62.65
1453,358,3.57,18.16,5.65,24.9,67.15
1303,387,3.72,16.33,5.76,26.3,60.3
1051,578,6.0,27.49,8.74,26.1,74.15
1448,386,3.85,19.65,6.18,25.0,57.36
885,566,6.7,23.39,9.04,32.1,79.72
1066,624,6.46,24.31,7.96,28.8,82.04
1408,660,6.08,22.38,9.99,28.9,81.38
646,12,0.0,1.38,0.42,0.0,21.1
1206,535,6.0,21.99,8.69,33.8,72.41
1012,597,6.84,26.47,9.72,34.0,85.96
3207,143,0.53,10.97,2.72,16.8,50.07
3131,193,0.87,2.72,2.71,16.5,45.35
2876,213,0.46,10.14,1.75,15.0,54.8
1046,597,6.11,26.86,8.63,28.9,88.39
1679,255,3.37,15.23,5.22,20.4,57.92
2789,236,0.77,9.96,2.63,12.2,44.47
3251,218,0.78,12.47,2.74,21.7,41.22
2937,191,0.37,8.28,1.8,16.3,49.82
3014,111,0.26,9.28,2.19,20.0,43.31
1585,369,3.12,22.23,5.09,25.6,62.88
616,18,0.69,0.0,0.0,0.0,30.17
1577,483,3.69,13.72,5.86,26.4,66.92
1242,470,3.66,17.78,5.09,23.5,72.1
1368,378,3.35,19.9,5.66,24.0,61.89
729,0,0.0,4.17,0.78,1.0,26.66
661,0,0.01,1.2,1.95,0.6,37.42
1238,578,5.47,25.93,8.5,30.5,85.56
506,39,0.0,4.75,1.38,1.1,30.29
1149,618,6.06,26.24,10.17,29.0,75.87
1494,392,3.06,20.01,4.94,26.6,61.76
502,0,0.4,3.95,1.85,0.8,23.82
1408,491,6.58,25.02,8.07,30.2,82.11
2865,110,1.3,7.73,3.59,19.9,46.18
645,0,0.28,0.01,1.99,1.1,38.4
1571,467,3.65,14.57,5.78,23.2,59.43
1073,623,6.08,25.64,9.11,28.6,83.72
810,0,0.14,1.46,1.07,3.7,23.06
930,669,5.37,28.63,7.47,32.9,68.47
1227,621,5.43,26.61,8.35,31.3,84.6
3007,79,1.28,12.84,2.66,22.6,48.15
2964,225,0.3,7.81,2.53,16.3,53.07
1476,420,3.24,14.28,6.9,26.9,54.28
1608,433,3.61,16.66,5.9,24.8,61.91
641,37,0.83,3.81,0.0,2.6,33.05
1300,451,3.68,13.36,5.49,27.5,55.45
1332,473,3.18,18.45,5.09,24.7,65.17
836,659,5.92,25.09,8.87,26.0,70.04
2943,90,1.21,8.21,1.32,17.7,54.04
2866,142,0.92,6.47,1.74,15.3,47.22
1041,572,5.4,26.5,6.92,32.6,82.88
633,0,0.0,6.8,0.0,4.3,28.65
1464,425,3.35,18.82,4.73,26.0,53.45
1197,650,5.78,30.77,9.12,32.1,81.25
3074,189,0.58,9.2,3.35,18.1,51.48
1425,430,3.16,20.66,6.95,25.8,63.77
2928,184,0.38,11.24,2.41,22.0,42.9
3019,106,0.9,7.32,3.07,18.7,58.02
487,0,0.0,2.59,0.75,0.3,24.47
1190,556,6.18,24.13,9.65,32.9,86.54
2836,139,0.23,7.99,1.23,17.6,49.75
2888,217,0.31,10.74,2.06,18.4,49.72
2983,179,0.0,8.1,2.86,16.1,43.48
1268,615,5.46,24.83,8.5,31.3,74.56
2888,220,0.0,6.23,4.1,17.9,47.5
533,0,0.0,1.48,1.06,2.5,25.23
763,74,0.02,1.56,0.9,1.5,27.6
2980,176,0.74,7.39,3.1,18.1,49.93
3082,173,0.83,11.4,2.03,21.9,43.1
1001,578,6.34,26.16,8.6,23.1,78.1
1354,373,3.45,18.98,6.13,27.2,70.71
1158,585,5.89,27.18,8.03,29.4,83.23
1276,671,6.15,27.08,9.17,32.3,81.75
718,0,0.0,0.0,1.36,1.2,32.01
2870,196,0.63,11.95,3.15,15.1,47.49
469,0,0.51,3.51,0.35,0.8,25.61
766,0,0.0,0.67,0.51,2.1,25.18
1828,327,3.09,18.71,4.93,25.7,65.28
688,0,0.0,1.77,0.86,2.4,34.71
2970,260,0.65,8.25,1.78,20.4,51.71
579,23,0.0,0.0,1.26,0.3,18.56
796,1,0.0,1.01,0.48,0.8,26.59
1670,296,4.23,18.19,6.21,20.4,66.08
3068,187,0.37,11.64,2.37,22.5,47.28
2971,226,1.29,8.57,1.74,16.7,50.09
2985,51,1.08,10.96,2.88,17.3,43.52
2807,193,0.3,8.89,1.98,18.6,54.1
2858,152,0.9,8.66,1.74,15.7,44.69
1329,373,3.12,19.1,4.7,22.0,58.15
3007,177,1.73,10.34,3.15,17.7,49.69
1463,391,3.72,18.6,6.12,18.8,65.19
2957,188,0.76,10.74,2.43,19.1,44.08
1164,596,5.9,25.3,7.25,28.9,80.06
3016,203,0.79,9.32,2.04,22.8,46.19
1128,603,5.89,27.93,8.33,30.9,80.99
1457,345,3.33,19.63,5.42,26.1,68.77
1583,401,3.38,18.83,4.82,20.6,56.61
1454,409,3.83,19.05,5.98,23.5,64.51
1373,480,3.52,15.98,6.27,23.5,65.15
720,39,0.71,0.08,0.69,6.3,28.09
823,633,6.62,31.36,7.93,32.5,79.08
626,142,0.0,0.0,0.0,4.4,26.17
1416,419,3.33,19.37,5.43,24.3,61.99
1070,634,6.68,28.72,9.32,28.5,79.22
594,0,0.09,3.51,0.96,5.7,27.24
3110,170,1.11,7.76,2.14,19.0,45.92
687,51,0.24,0.06,1.13,4.0,34.35
964,662,6.39,27.14,9.43,30.4,78.37
498,0,0.39,2.9,0.8,2.9,24.76
725,0,0.0,1.18,0.84,0.0,31.98
2903,172,0.65,9.06,3.08,17.4,39.99
948,624,6.2,24.93,8.36,33.4,73.63
535,0,0.27,0.0,0.58,0.0,31.98
2957,261,0.19,7.84,1.29,16.7,54.93
726,12,0.61,0.57,0.22,2.3,34.43
1494,453,3.59,15.49,4.57,21.5,62.28
3097,165,0.88,9.49,2.46,22.2,47.73
1677,339,2.66,15.99,6.47,27.6,60.5
3123,125,0.0,12.52,2.07,23.6,47.86
1437,328,3.44,16.08,5.64,30.1,56.11
3067,144,0.19,6.65,3.12,14.1,48.58
788,7,0.0,3.44,0.0,2.7,27.21
3096,242,0.13,7.02,1.7,22.4,55.81
1654,425,3.5,17.66,5.99,24.1,75.46
1544,411,3.62,19.8,5.7,24.0,63.32
3271,339,0.6,8.89,1.82,14.4,46.06
1216,332,3.75,18.22,5.25,23.5,63.48
553,27,0.0,3.69,0.34,7.7,26.65
