rms_mm_s,peak_g,crest_factor,kurtosis,dom_freq_orders,hf_energy_pct
4.287,1.016,3.043,3.176,1.0,6.468
4.506,1.07,3.125,3.051,1.02,9.917
5.48,0.977,3.093,2.939,1.0,12.833
7.815,1.008,3.257,3.123,1.0,11.291
0.853,0.434,2.431,2.313,1.06,8.574
7.281,1.055,3.087,3.032,0.98,15.757
1.63,0.203,2.527,3.687,0.98,10.946
2.484,1.936,4.862,8.01,5.23,41.995
0.904,1.631,4.817,5.207,4.47,38.814
3.166,0.949,3.318,3.266,1.0,11.224
5.24,1.044,3.141,3.098,1.0,11.498
1.858,0.337,2.71,2.667,1.03,9.056
2.149,0.287,4.091,3.656,5.82,67.524
7.282,0.978,3.253,3.107,1.01,6.939
5.936,1.04,3.348,3.099,1.02,11.348
1.891,0.179,2.921,2.621,1.04,7.689
2.427,2.034,4.444,5.696,4.73,61.564
1.51,0.371,2.629,3.565,0.92,8.825
1.395,0.276,2.78,3.211,1.01,10.358
4.278,1.054,4.202,4.465,1.96,10.806
5.853,1.051,3.254,3.097,0.99,10.745
5.299,1.094,3.172,3.077,1.03,12.142
4.212,1.046,3.056,3.101,1.0,9.388
0.928,0.223,3.4,3.059,0.97,9.086
1.602,0.134,3.422,2.674,1.02,7.757
1.753,0.264,3.324,3.022,1.0,5.903
1.591,2.457,7.276,11.794,4.18,42.464
1.075,0.292,2.77,2.932,1.03,4.886
4.427,1.056,3.178,3.064,1.01,10.577
4.527,1.168,3.895,3.616,2.05,14.971
4.485,1.07,3.073,3.151,0.98,11.947
1.411,0.209,3.715,4.124,1.03,9.256
5.726,1.098,3.192,3.072,1.0,11.779
5.255,0.968,3.208,3.128,1.01,9.571
4.854,0.899,3.313,2.969,1.0,11.838
4.681,0.948,3.255,3.032,1.0,11.281
4.997,0.987,3.245,3.073,0.98,9.355
3.098,3.159,4.87,7.847,4.76,28.964
4.705,1.344,5.604,10.732,4.97,53.039
3.658,1.084,3.578,3.836,2.05,14.22
1.096,0.369,2.607,2.478,1.08,11.066
3.569,1.006,3.14,4.484,1.98,16.041
1.678,2.117,6.636,8.075,5.17,33.969
3.399,3.082,4.55,10.281,4.41,16.697
1.39,0.246,3.52,2.795,0.97,9.886
3.862,1.241,3.85,2.973,2.04,14.15
4.234,0.881,3.294,3.181,1.0,9.679
4.079,1.115,3.521,3.181,2.03,15.842
1.906,0.181,3.806,2.678,1.03,7.777
4.249,0.946,3.296,3.225,1.01,9.7
1.129,2.69,4.941,9.929,4.79,58.66
4.394,1.04,3.673,4.205,2.04,16.304
5.997,1.053,3.254,3.012,0.99,9.741
3.108,1.401,3.903,2.906,1.91,14.61
1.469,0.14,2.97,2.717,1.06,12.301
1.345,0.34,3.23,3.396,1.0,8.514
1.269,0.248,2.426,2.34,1.01,7.488
1.891,0.302,2.733,3.206,1.02,9.474
4.392,1.006,3.372,3.135,1.01,12.17
3.763,1.425,4.021,2.877,2.16,16.473
5.134,1.378,4.003,3.3,1.99,11.646
3.372,0.956,3.191,3.293,0.99,10.283
1.664,0.371,2.909,2.787,1.0,2.903
1.663,3.055,5.328,2.41,4.46,38.656
4.02,1.052,2.91,3.022,1.0,10.232
1.932,0.346,3.132,2.528,0.91,9.771
2.642,1.09,4.444,3.312,2.02,8.132
1.389,0.424,2.498,3.247,1.03,8.854
4.448,1.305,4.325,3.551,2.04,13.569
1.63,0.394,3.503,2.948,1.05,8.467
1.266,0.384,3.43,2.646,1.03,7.53
5.57,0.993,3.092,3.344,0.99,11.492
1.377,0.261,2.989,2.955,0.99,5.304
3.871,1.991,7.568,10.835,5.84,42.049
1.278,0.234,2.606,2.851,0.93,10.577
1.409,0.284,3.212,3.248,1.0,6.186
3.723,1.03,3.307,3.182,1.0,10.855
1.637,0.31,2.749,3.676,1.0,10.809
1.482,0.371,2.805,3.076,0.94,5.658
3.668,1.365,4.341,3.241,1.96,14.317
3.937,0.964,3.129,3.008,0.98,9.935
1.575,0.247,2.298,2.499,0.91,7.342
4.421,1.0,3.307,3.349,1.96,14.698
1.834,3.097,4.332,6.371,2.83,47.575
7.051,0.305,7.003,5.911,1.95,15.706
5.137,0.842,3.178,3.162,1.0,11.554
2.967,2.38,4.944,9.566,3.57,38.09
1.038,0.314,3.109,3.52,1.04,7.57
0.315,0.981,3.244,3.161,0.98,10.595
3.142,2.435,7.958,5.431,4.12,42.654
6.042,0.992,3.311,3.105,1.01,10.408
5.015,1.498,8.24,8.381,3.76,45.785
0.702,0.277,2.686,2.364,1.03,7.514
1.169,2.777,4.932,10.414,5.04,67.988
5.2,0.893,3.074,3.011,0.99,9.169
4.363,1.205,3.894,3.762,2.03,6.722
5.702,1.039,3.14,3.267,0.99,12.394
1.16,0.333,3.041,3.0,1.0,7.984
2.646,4.029,6.975,6.458,3.85,45.44
1.13,0.222,3.005,2.962,1.04,11.548
4.225,0.95,3.183,3.07,1.0,8.532
1.069,0.262,2.586,3.339,0.99,8.273
3.582,1.056,3.537,3.948,1.94,11.633
3.772,0.8,3.141,4.314,1.95,15.601
2.921,1.55,6.247,8.979,3.59,39.095
3.66,1.142,3.058,3.181,0.99,13.337
3.812,1.423,3.672,2.895,1.98,9.227
3.998,1.361,3.503,4.122,1.94,17.438
1.05,0.295,3.077,2.672,0.98,8.208
5.794,1.008,3.008,3.079,1.01,7.943
0.946,0.161,3.305,3.093,0.96,7.486
1.144,0.233,2.923,2.578,0.98,7.058
1.178,0.374,2.948,2.532,0.99,5.244
3.484,1.599,3.748,4.178,1.94,13.913
5.648,1.288,3.363,3.687,2.11,14.144
1.623,0.197,2.6,2.826,0.95,6.531
1.607,0.216,3.304,3.279,1.01,11.007
1.41,0.267,2.679,3.331,1.01,5.189
3.442,1.052,3.046,3.09,1.01,5.278
3.03,3.803,6.097,5.972,4.47,17.956
4.259,2.87,8.956,6.462,4.96,30.026
3.228,2.107,4.564,6.954,4.98,57.456
4.04,1.678,3.164,3.634,1.95,13.508
3.374,1.034,3.335,3.042,0.99,12.33
2.08,0.224,3.122,2.972,1.01,8.205
1.62,0.266,3.21,3.565,1.05,11.997
3.04,2.542,5.304,9.152,6.2,46.895
3.378,1.25,3.373,3.303,2.08,16.128
1.403,0.148,2.798,2.625,0.92,8.783
3.265,1.242,3.53,3.176,2.08,13.735
4.101,1.001,3.224,2.858,0.98,8.607
3.665,0.937,3.3,3.74,1.88,14.639
2.898,1.191,3.798,2.289,2.13,8.991
5.618,0.965,3.22,3.141,0.98,11.418
2.975,2.896,9.411,11.141,5.98,71.897
5.866,1.071,3.224,3.149,0.99,10.734
1.449,0.371,3.617,2.444,1.06,4.489
4.204,1.109,4.236,3.038,1.94,13.15
3.277,3.464,5.782,10.176,4.69,38.926
1.942,0.342,2.685,2.95,0.91,5.341
5.322,0.884,3.285,3.264,1.02,8.245
2.229,2.13,7.507,10.142,5.58,47.193
0.972,0.192,2.717,2.879,0.97,8.457
1.956,0.327,8.199,9.969,4.67,52.777
6.495,1.103,3.067,3.088,1.01,8.509
4.933,0.825,3.339,3.502,1.97,14.485
1.616,3.138,5.722,10.566,4.75,30.171
1.915,0.16,1.95,3.413,0.99,6.807
1.313,0.301,2.093,3.296,0.95,8.316
1.349,0.323,2.745,2.452,0.92,9.051
1.155,0.283,3.623,3.671,1.04,7.525
5.243,0.603,2.224,3.685,2.13,11.365
3.044,1.255,4.683,3.881,2.07,15.633
5.906,0.997,3.311,3.189,1.0,7.639
3.552,1.101,3.59,3.52,2.01,16.797
1.213,0.373,3.419,3.418,1.0,6.351
1.802,0.264,3.423,3.135,1.01,5.865
1.676,0.247,3.169,2.522,0.96,10.38
6.135,1.332,3.696,3.079,1.96,15.493
3.195,2.672,7.24,6.351,7.6,43.699
3.684,1.031,3.216,3.077,1.01,10.034
2.796,2.649,6.518,7.494,5.25,62.338
1.481,0.258,2.779,3.21,1.03,11.576
5.603,0.948,3.383,3.075,0.98,10.416
4.139,1.206,3.603,3.678,1.89,13.589
4.531,1.425,8.045,4.839,3.93,42.788
3.697,1.107,3.505,3.184,2.14,12.397
6.863,0.994,3.171,3.043,1.0,9.389
3.102,2.84,6.475,8.958,4.3,31.659
5.046,0.931,3.189,2.982,0.99,9.063
4.682,0.991,3.261,3.056,0.99,11.139
1.798,0.402,3.451,3.313,1.02,8.239
5.312,1.05,3.184,3.102,0.98,12.115
0.77,0.286,2.764,3.084,1.04,6.037
5.639,1.122,3.294,2.945,2.01,18.868
4.752,1.004,3.347,3.133,1.0,8.673
4.343,2.115,4.353,12.224,4.57,34.413
4.335,1.032,3.312,2.997,1.02,12.316
1.1,0.292,3.056,2.546,1.08,9.511
1.291,0.328,2.635,2.916,1.0,8.335
5.173,1.033,3.27,3.072,1.01,12.305
2.686,1.986,4.924,8.791,4.8,42.64
6.295,1.311,5.381,5.667,4.6,16.364
3.283,3.354,5.987,10.447,4.98,48.953
3.064,1.489,4.118,4.501,1.97,12.278
4.621,2.439,3.554,5.545,3.01,13.853
0.963,0.185,2.794,2.459,1.03,10.316
4.698,1.448,3.345,3.642,2.1,16.646
4.156,1.214,4.152,3.483,1.99,11.038
1.102,0.269,3.084,3.114,1.01,5.745
4.898,2.378,4.155,2.041,1.54,7.095
1.421,0.375,3.293,3.271,0.98,6.066
2.242,0.919,3.141,3.027,1.0,11.705
1.285,0.196,2.648,2.737,0.96,9.756
4.809,1.314,3.366,3.157,2.04,11.291
1.768,0.329,3.048,2.698,1.15,9.453
3.201,1.087,3.318,3.024,1.01,11.303
4.371,1.056,3.186,3.016,1.0,12.136
4.797,1.05,3.209,3.036,0.99,10.683
5.807,0.94,3.2,3.078,1.01,10.531
2.513,1.389,4.345,3.526,2.0,12.271
1.675,0.189,3.078,2.954,0.94,7.104
1.799,0.408,3.002,2.618,1.01,7.336
3.948,1.149,4.225,3.597,1.88,13.262
4.33,1.241,3.953,3.716,2.01,15.011
3.386,1.091,3.094,3.059,1.0,7.368
1.733,0.385,2.484,3.621,0.9,7.2
3.507,0.937,3.362,3.102,0.99,8.524
3.837,0.94,2.983,3.34,2.06,13.931
1.585,0.219,3.163,3.227,0.95,6.377
3.896,1.046,3.631,3.309,2.0,10.697
1.199,0.281,3.336,2.637,1.02,8.983
5.168,1.238,3.371,4.264,1.85,12.211
4.173,1.319,6.572,9.67,3.59,31.837
6.773,1.091,3.338,3.169,1.0,10.827
4.186,0.649,4.309,3.831,1.98,9.289
5.633,1.301,3.243,3.506,1.97,14.74
4.868,0.939,3.317,3.032,0.99,12.274
6.224,1.09,3.179,3.295,1.01,8.911
1.038,0.158,3.839,2.906,1.06,8.4
3.251,3.661,7.781,6.168,4.67,28.976
6.679,0.947,3.232,3.062,1.0,7.252
1.081,0.189,3.407,3.074,1.03,4.618
1.996,0.357,3.168,2.648,1.0,11.006
5.777,1.15,3.278,3.147,1.0,11.38
1.925,0.146,7.368,1.93,4.01,70.037
1.49,0.393,2.726,3.093,0.99,7.582
0.732,0.23,3.164,2.666,0.97,6.219
4.748,2.58,4.861,10.473,5.07,61.193
1.469,0.302,3.6,3.551,0.93,7.943
1.458,0.278,2.59,2.893,0.97,7.442
4.344,4.053,3.868,12.505,3.52,22.407
4.456,1.119,4.34,4.431,2.1,12.847
1.68,0.321,3.202,2.849,0.98,10.537
1.266,0.255,3.17,2.755,1.04,3.047
5.067,1.629,3.685,3.715,2.05,12.018
4.64,1.409,3.825,3.957,2.01,17.293
3.751,1.073,3.521,2.567,1.93,12.573
5.072,0.925,3.198,3.075,0.99,12.202
3.453,0.953,3.344,3.116,0.99,10.414
4.394,1.085,3.142,3.063,0.99,10.149
1.988,0.206,2.114,2.396,0.99,7.258
5.864,1.444,3.314,4.548,1.96,7.992
4.962,0.996,3.081,2.983,1.01,7.965
3.85,1.148,4.598,3.546,2.0,14.138
3.006,1.046,3.132,3.02,1.01,10.269
3.78,2.172,8.04,8.646,2.92,23.079
5.647,1.046,3.812,3.071,1.94,16.584
1.509,0.21,2.864,3.206,0.92,7.368
1.307,0.342,2.94,1.903,1.02,5.614
6.6,1.006,3.142,3.089,1.01,6.535
1.568,0.428,2.649,3.91,1.04,10.082
6.082,0.98,3.267,3.076,0.99,11.807
0.984,0.393,3.748,3.091,1.06,6.965
5.81,1.253,3.562,3.186,1.89,16.231
1.288,0.197,3.628,3.024,1.02,8.425
2.819,2.457,7.332,8.126,4.96,39.653
5.727,0.988,3.083,3.285,0.99,11.542
3.737,1.334,4.254,4.325,1.97,14.479
4.255,0.951,3.156,3.192,1.0,13.162
4.36,0.967,3.171,2.919,1.0,9.105
2.708,2.793,6.847,2.964,6.14,60.406
1.691,0.325,3.087,3.476,1.11,10.493
5.315,1.062,3.07,3.075,1.0,9.884
2.892,1.494,3.674,3.554,2.0,14.129
1.83,0.366,3.299,2.802,1.0,9.06
1.2,0.23,2.627,3.823,1.07,9.131
1.547,0.392,3.189,2.911,1.01,4.18
4.843,1.092,3.105,3.196,1.0,8.19
1.857,0.242,3.534,3.233,0.89,9.253
1.675,0.263,2.752,2.568,0.97,10.188
1.792,0.3,3.549,2.469,1.08,7.374
4.874,1.021,3.373,3.18,1.0,8.904
3.971,1.047,3.124,3.181,1.0,10.559
1.571,0.311,3.309,3.111,1.05,6.665
2.317,2.78,7.524,6.867,3.46,38.191
1.621,0.274,3.308,3.447,1.01,5.914
2.514,1.233,3.556,2.746,2.07,10.448
3.539,3.401,7.746,7.351,3.73,19.774
1.267,0.163,3.061,3.483,0.97,8.304
1.226,0.292,2.505,2.527,0.98,7.952
1.622,0.377,2.596,3.075,0.94,6.339
7.93,1.073,3.217,3.245,1.0,10.552
3.133,0.935,3.649,3.61,2.13,16.678
7.134,1.073,3.173,3.055,1.01,7.476
8.67,1.068,3.185,3.047,0.99,13.08
1.541,0.212,3.105,3.137,0.97,9.983
3.086,1.019,3.182,2.826,1.01,8.395
6.328,1.067,3.192,3.141,1.02,7.945
4.492,1.113,4.519,2.732,1.88,11.857
3.424,0.977,3.373,3.071,1.01,12.274
4.874,0.79,4.033,3.611,2.1,8.427
1.52,0.306,3.53,2.739,1.01,7.648
1.487,0.354,2.561,2.672,0.85,10.265
6.119,0.982,3.193,2.981,1.03,8.502
4.279,1.323,4.01,4.916,2.06,12.115
3.272,2.059,6.687,7.255,4.24,75.428
2.276,1.031,3.065,3.052,0.99,10.27
2.627,0.763,3.289,3.274,2.01,14.735
3.989,1.248,3.231,3.099,2.09,14.746
2.039,0.193,3.638,3.353,1.08,5.532
3.872,1.332,3.2,3.588,1.98,15.847
1.479,0.385,2.361,3.15,0.99,6.201
4.745,1.13,3.728,3.819,2.02,17.632
1.175,0.363,2.934,2.713,0.98,10.681
4.717,0.987,3.205,2.949,1.0,6.874
0.542,0.221,2.959,2.559,1.05,9.06
3.099,1.445,4.007,3.91,2.09,13.314
2.371,3.782,7.122,7.532,5.5,47.138
7.086,1.083,3.065,3.105,0.99,11.711
1.669,0.182,9.04,14.068,7.34,72.195
1.358,0.158,3.461,3.125,0.94,5.076
3.388,1.422,3.628,4.069,2.02,16.124
1.7,0.362,3.25,3.083,1.05,8.946
3.32,2.883,3.996,4.966,4.36,56.952
4.384,1.3,3.882,2.72,1.96,12.345
4.796,1.016,3.175,3.163,0.99,11.47
2.975,1.283,5.13,3.536,2.05,17.23
4.028,1.428,4.049,3.036,2.03,13.374
3.665,1.404,4.497,3.155,1.96,16.44
1.357,0.168,2.998,2.792,1.03,6.846
3.881,0.941,3.223,3.068,1.0,8.493
1.558,0.159,2.918,2.841,0.96,8.861
4.95,0.988,3.202,3.149,1.0,12.69
6.839,1.039,3.22,2.934,0.98,9.595
1.76,0.304,2.761,2.581,1.01,11.991
3.395,1.21,3.068,3.085,1.97,14.304
1.879,0.266,2.922,2.22,1.06,8.867
3.274,1.366,3.944,3.4,1.92,10.886
1.411,0.233,3.136,3.471,0.97,7.339
3.608,1.079,3.283,3.061,0.98,8.321
2.382,0.95,3.258,3.224,0.99,10.519
1.075,0.217,2.994,2.657,0.97,9.04
4.075,1.499,3.826,3.269,1.97,12.793
1.088,0.163,3.229,3.473,1.03,8.758
0.909,0.397,3.499,2.914,0.94,8.177
6.594,1.03,3.337,3.122,1.01,11.286
3.308,1.002,3.221,3.099,0.99,8.095
3.256,3.367,3.73,6.436,4.19,53.802
1.932,1.978,4.672,5.543,1.44,62.52
4.956,0.947,3.333,3.07,1.01,4.285
3.865,1.652,4.041,3.037,1.98,16.474
1.606,0.351,3.133,2.772,1.11,7.228
1.811,0.184,2.5,2.767,1.04,8.91
6.87,0.6,3.865,3.544,1.97,14.663
4.359,0.888,3.216,3.303,2.0,10.92
2.951,0.734,3.64,4.463,1.95,12.34
4.24,0.944,3.107,3.106,0.99,9.259
1.026,0.315,2.919,2.908,1.06,8.255
3.914,0.98,3.093,4.223,2.08,19.863
6.172,3.667,3.754,4.986,5.45,10.125
5.046,1.104,3.162,3.155,1.01,11.322
5.901,1.006,3.133,3.027,1.0,9.944
2.789,1.001,3.273,3.258,1.0,7.982
1.374,0.247,3.316,3.364,1.0,9.269
3.493,2.487,5.175,4.635,6.49,47.444
8.202,0.914,3.161,3.198,0.99,9.262
4.782,1.278,3.285,4.242,2.02,20.183
2.708,1.761,4.515,6.078,3.32,52.257
1.39,0.263,3.152,2.919,0.96,7.069
4.124,0.978,3.272,3.017,1.0,9.941
4.009,1.086,3.178,3.031,1.01,9.335
1.044,0.396,3.054,3.397,1.05,5.767
5.384,1.032,3.199,3.112,1.0,9.115
4.683,1.858,3.9,3.499,1.93,15.055
3.091,0.946,3.213,3.088,0.99,9.65
5.214,0.928,3.257,3.241,1.01,8.352
6.005,1.093,3.157,3.151,1.0,9.099
2.155,0.965,3.158,3.04,1.0,10.434
4.337,1.537,4.131,3.886,1.96,18.403
6.702,1.014,3.422,3.104,1.02,7.472
4.755,1.058,3.27,3.163,1.02,10.674
5.1,0.959,3.254,3.468,1.97,11.167
3.618,3.705,5.404,11.825,3.83,44.087
3.464,1.404,4.536,3.937,1.95,15.548
1.236,0.313,3.211,2.305,1.02,6.731
4.822,0.985,3.164,3.042,1.0,7.787
4.591,1.012,3.289,2.976,0.99,9.816
4.457,1.214,4.224,4.133,2.01,13.698
